name,age
八王子市横山町,43.64
八王子市八日町,39.8
八王子市八幡町,44.9
八王子市八木町,44.31
八王子市追分町,48.34
八王子市千人町一丁目,45.36
八王子市千人町二丁目,41.91
八王子市千人町三丁目,44.97
八王子市千人町四丁目,44.39
八王子市日吉町,47.65
八王子市元本郷町一丁目,48.43
八王子市元本郷町二丁目,48.75
八王子市元本郷町三丁目,45.66
八王子市元本郷町四丁目,46.25
八王子市平岡町,47.4
八王子市本郷町,51.68
八王子市大横町,49.34
八王子市本町,47.71
八王子市元横山町一丁目,46.57
八王子市元横山町二丁目,45.63
八王子市元横山町三丁目,47.09
八王子市田町,47.46
八王子市新町,43.04
八王子市明神町一丁目,45.09
八王子市明神町二丁目,42.72
八王子市明神町三丁目,44.06
八王子市明神町四丁目,45.47
八王子市子安町一丁目,40.78
八王子市子安町二丁目,43.54
八王子市子安町三丁目,45.07
八王子市子安町四丁目,46.48
八王子市東町,51
八王子市旭町,47.95
八王子市三崎町,42.47
八王子市中町,43.81
八王子市南町,39.89
八王子市寺町,44.61
八王子市万町,46.22
八王子市上野町,47.17
八王子市天神町,46.14
八王子市南新町,42.02
八王子市小門町,46.97
八王子市台町一丁目,44.84
八王子市台町二丁目,42.48
八王子市台町三丁目,43.87
八王子市台町四丁目,47.5
八王子市中野町,42.8
八王子市暁町一丁目,43.87
八王子市暁町二丁目,44.83
八王子市暁町三丁目,42.56
八王子市中野山王一丁目,47.88
八王子市中野山王二丁目,43.87
八王子市中野山王三丁目,54.29
八王子市中野上町一丁目,49.94
八王子市中野上町二丁目,49.02
八王子市中野上町三丁目,50.48
八王子市中野上町四丁目,46.9
八王子市中野上町五丁目,47.37
八王子市大和田町一丁目,48.41
八王子市大和田町二丁目,41.07
八王子市大和田町三丁目,42.78
八王子市大和田町四丁目,44.61
八王子市大和田町五丁目,42.64
八王子市大和田町六丁目,38.48
八王子市大和田町七丁目,43.65
八王子市富士見町,52.31
八王子市緑町,48.25
八王子市清川町,51.97
八王子市東浅川町,43.19
八王子市初沢町,49.89
八王子市高尾町,49.08
八王子市南浅川町,60.17
八王子市西浅川町,46.83
八王子市裏高尾町,54.11
八王子市廿里町,43.68
八王子市下柚木,41.53
八王子市下柚木二丁目,36.3
八王子市下柚木三丁目,42.72
八王子市上柚木,42.59
八王子市上柚木二丁目,39.86
八王子市上柚木三丁目,43.91
八王子市中山,42.57
八王子市鑓水,43.56
八王子市鑓水二丁目,37.52
八王子市南大沢一丁目,36.56
八王子市南大沢二丁目,39.11
八王子市南大沢三丁目,52.28
八王子市南大沢四丁目,49.92
八王子市南大沢五丁目,45.37
八王子市越野,36.44
八王子市松木,38.37
八王子市別所一丁目,40.57
八王子市別所二丁目,44.58
八王子市南陽台一丁目,57.14
八王子市南陽台二丁目,55.3
八王子市南陽台三丁目,56.18
八王子市堀之内,35.07
八王子市堀之内二丁目,36.41
八王子市堀之内三丁目,39.54
八王子市東中野,39.54
八王子市大塚,43.44
八王子市鹿島,49.33
八王子市松が谷,51.39
八王子市並木町,45.26
八王子市散田町一丁目,50.56
八王子市散田町二丁目,50.01
八王子市散田町三丁目,47.06
八王子市散田町四丁目,46.07
八王子市散田町五丁目,43.31
八王子市山田町,42.05
八王子市めじろ台一丁目,53.64
八王子市めじろ台二丁目,52.79
八王子市めじろ台三丁目,54.07
八王子市めじろ台四丁目,53.21
八王子市長房町,51.55
八王子市城山手一丁目,41.73
八王子市城山手二丁目,48.18
八王子市狭間町,48.02
八王子市椚田町,42.62
八王子市館町,46.97
八王子市寺田町,50.65
八王子市大船町,37.1
八王子市大楽寺町,47.13
八王子市上壱分方町,44.43
八王子市諏訪町,49.58
八王子市四谷町,46.29
八王子市叶谷町,47.03
八王子市泉町,51.09
八王子市横川町,47.8
八王子市弐分方町,45.99
八王子市川町,52.41
八王子市元八王子町一丁目,48.64
八王子市元八王子町二丁目,42.1
八王子市元八王子町三丁目,52.36
八王子市下恩方町,46.8
八王子市上恩方町,56.39
八王子市西寺方町,50.73
八王子市小津町,55.27
八王子市川口町,47.77
八王子市上川町,55.33
八王子市犬目町,45.65
八王子市楢原町,45.8
八王子市美山町,55.66
八王子市尾崎町,54.29
八王子市左入町,46.72
八王子市滝山町一丁目,35.97
八王子市滝山町二丁目,41.96
八王子市梅坪町,44.48
八王子市谷野町,37.26
八王子市みつい台一丁目,53.52
八王子市みつい台二丁目,51.94
八王子市丹木町一丁目,26.96
八王子市丹木町二丁目,40.18
八王子市丹木町三丁目,41.04
八王子市加住町一丁目,49.01
八王子市加住町二丁目,44.26
